Date,Price,Open,High,Low,Vol.,Change %
18-Mar-14,734.00,735.40,744.80,728.30,2.03M,0.00
19-Mar-14,738.45,740.00,743.30,735.75,1.51M,0.01
20-Mar-14,730.20,738.45,738.45,728.00,1.30M,0.01
21-Mar-14,733.85,735.15,737.50,731.20,1.88M,0.01
22-Mar-14,732.40,736.00,736.00,729.85,105.53K,0.00
24-Mar-14,750.65,734.50,752.90,734.00,2.93M,0.02
25-Mar-14,750.15,750.00,760.55,747.75,2.01M,0.00
26-Mar-14,746.05,752.80,756.30,744.10,2.35M,0.01
27-Mar-14,746.75,750.00,760.75,742.00,6.14M,0.00
28-Mar-14,744.95,749.95,754.10,735.05,3.04M,0.00
31-Mar-14,748.80,747.95,753.00,743.10,2.07M,0.01
1-Apr-14,738.10,751.50,753.55,732.55,2.01M,0.01
2-Apr-14,731.90,744.95,746.00,721.90,2.60M,0.01
3-Apr-14,728.80,736.00,738.00,726.25,1.39M,0.00
4-Apr-14,725.45,725.55,733.00,720.05,1.86M,0.00
7-Apr-14,725.35,725.00,732.00,723.10,2.93M,0.00
9-Apr-14,741.85,728.05,744.90,721.75,2.63M,0.02
10-Apr-14,739.40,744.65,748.65,736.00,1.87M,0.00
11-Apr-14,738.15,734.05,744.80,733.90,1.30M,0.00
15-Apr-14,723.95,734.30,738.80,718.10,2.09M,0.02
16-Apr-14,725.95,723.20,731.80,721.10,893.10K,0.00
17-Apr-14,718.70,716.25,721.30,707.30,3.08M,0.01
21-Apr-14,716.45,722.70,726.50,713.00,1.75M,0.00
22-Apr-14,727.55,721.90,729.60,717.40,2.85M,0.02
23-Apr-14,733.00,724.90,739.45,722.60,5.26M,0.01
25-Apr-14,726.40,733.15,738.00,725.00,1.55M,0.01
28-Apr-14,725.20,722.25,729.25,720.55,1.22M,0.00
29-Apr-14,715.80,726.40,727.50,712.50,1.66M,0.01
30-Apr-14,721.30,716.00,729.90,711.65,2.20M,0.01
2-May-14,717.10,723.50,727.55,715.55,1.48M,0.01
5-May-14,716.70,719.85,723.10,714.00,1.30M,0.00
6-May-14,720.20,720.20,724.60,714.10,1.55M,0.00
7-May-14,715.60,718.50,727.00,711.45,1.65M,0.01
8-May-14,718.30,717.15,723.00,715.50,1.88M,0.00
9-May-14,756.80,720.00,760.00,720.00,4.09M,0.05
12-May-14,792.15,755.10,794.85,754.50,4.39M,0.05
13-May-14,788.15,800.00,800.00,782.50,3.17M,0.01
14-May-14,775.45,785.00,794.80,774.25,2.13M,0.02
15-May-14,788.35,769.00,791.15,766.05,2.37M,0.02
16-May-14,804.70,800.00,854.00,787.65,8.22M,0.02
19-May-14,811.90,815.90,835.00,808.00,2.63M,0.01
20-May-14,816.05,816.00,821.60,804.35,1.59M,0.01
21-May-14,809.50,812.35,814.50,805.00,910.60K,0.01
22-May-14,802.60,812.00,815.00,798.00,1.95M,0.01
23-May-14,789.65,799.00,803.00,782.70,2.45M,0.02
26-May-14,797.15,799.00,804.05,790.00,4.35M,0.01
27-May-14,804.90,800.00,810.65,788.35,1.90M,0.01
28-May-14,823.45,799.90,826.75,799.50,3.59M,0.02
29-May-14,810.25,822.60,830.75,807.40,3.42M,0.02
30-May-14,792.75,815.00,822.80,730.00,8.20M,0.02
2-Jun-14,819.40,793.50,822.35,793.50,2.02M,0.03
3-Jun-14,824.35,823.00,827.85,814.00,906.04K,0.01
4-Jun-14,816.70,822.40,829.70,815.10,716.09K,0.01
5-Jun-14,805.45,811.80,815.40,801.00,1.92M,0.01
6-Jun-14,815.25,813.00,821.00,801.00,2.64M,0.01
9-Jun-14,819.45,821.90,830.00,815.00,2.33M,0.01
10-Jun-14,816.65,821.15,823.60,810.00,1.25M,0.00
11-Jun-14,820.50,817.00,829.85,810.00,1.94M,0.00
