"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"MARUTI","EQ","06-Sep-2018","       8896.10","       8967.70","       8967.70","       8741.00","       8754.50","       8759.85","       8797.28","     687535","          6048435827.85","     110563"
"MARUTI","EQ","07-Sep-2018","       8759.85","       8775.00","       8789.00","       8634.25","       8714.90","       8719.20","       8717.15","     636918","          5552108857.05","      96643"
"MARUTI","EQ","10-Sep-2018","       8719.20","       8700.00","       8750.00","       8625.00","       8634.85","       8639.40","       8660.35","     577299","          4999612605.30","      82186"
"MARUTI","EQ","11-Sep-2018","       8639.40","       8668.00","       8699.90","       8479.60","       8485.00","       8517.05","       8583.77","     552622","          4743582215.15","      65367"
"MARUTI","EQ","12-Sep-2018","       8517.05","       8539.00","       8539.00","       8401.00","       8505.00","       8493.95","       8474.03","     634678","          5378278314.00","      95051"
"MARUTI","EQ","14-Sep-2018","       8493.95","       8593.00","       8700.00","       8580.35","       8600.15","       8626.70","       8650.71","     754169","          6524093706.35","      93703"
"MARUTI","EQ","17-Sep-2018","       8626.70","       8587.00","       8659.70","       8517.00","       8520.00","       8537.80","       8571.77","     422191","          3618924481.70","      50692"
"MARUTI","EQ","18-Sep-2018","       8537.80","       8537.70","       8596.50","       8380.20","       8395.00","       8399.15","       8479.84","     507455","          4303137820.45","      72260"
"MARUTI","EQ","19-Sep-2018","       8399.15","       8425.50","       8448.40","       8191.05","       8202.00","       8210.35","       8294.38","     959340","          7957128662.95","     123995"
"MARUTI","EQ","21-Sep-2018","       8210.35","       8260.00","       8325.00","       7599.65","       8044.00","       8040.15","       8106.09","    1646047","         13343010403.20","     155883"
"MARUTI","EQ","24-Sep-2018","       8040.15","       8070.00","       8070.00","       7590.70","       7793.10","       7793.05","       7756.61","    1801469","         13973286680.35","     218317"
"MARUTI","EQ","25-Sep-2018","       7793.05","       7750.00","       8018.25","       7680.00","       8001.00","       7999.45","       7899.77","    1159438","          9159291584.60","     125218"
"MARUTI","EQ","26-Sep-2018","       7999.45","       8075.00","       8089.90","       7822.55","       7835.05","       7842.55","       7903.25","     754963","          5966663079.80","      88383"
"MARUTI","EQ","27-Sep-2018","       7842.55","       7850.00","       7878.00","       7510.20","       7584.00","       7553.05","       7630.87","    1594739","         12169245444.30","     147460"
"MARUTI","EQ","28-Sep-2018","       7553.05","       7620.00","       7648.20","       7292.65","       7320.50","       7347.95","       7438.20","    1413254","         10512062542.95","     154117"
"MARUTI","EQ","01-Oct-2018","       7347.95","       7354.00","       7485.00","       7206.00","       7465.00","       7463.95","       7349.50","    1034603","          7603819539.55","     115011"
