Date,Price,Open,High,Low,Vol.,Change %
7-Dec-15,833.50,815.00,835.50,815.00,1.27M,2.28%
8-Dec-15,825.75,831.90,839.80,822.60,1.14M,-0.93%
9-Dec-15,820.15,827.00,835.00,816.15,1.03M,-0.68%
10-Dec-15,815.90,823.00,830.85,812.25,1.14M,-0.52%
11-Dec-15,822.10,818.30,831.95,816.65,1.21M,0.76%
14-Dec-15,839.00,825.00,842.50,813.45,1.31M,2.06%
15-Dec-15,858.60,839.20,862.50,839.20,2.30M,2.34%
16-Dec-15,855.40,865.00,868.40,852.70,1.10M,-0.37%
17-Dec-15,864.25,840.00,865.70,840.00,1.21M,1.03%
18-Dec-15,857.05,865.60,875.60,852.15,2.11M,-0.83%
21-Dec-15,851.60,861.95,861.95,849.75,1.11M,-0.64%
22-Dec-15,851.45,852.95,857.90,843.20,913.03K,-0.02%
23-Dec-15,863.25,859.45,870.50,856.05,770.19K,1.39%
24-Dec-15,864.25,868.00,869.30,862.00,538.74K,0.12%
28-Dec-15,865.85,865.00,873.00,862.50,976.33K,0.19%
29-Dec-15,857.90,867.00,867.00,855.00,754.05K,-0.92%
30-Dec-15,857.45,858.00,862.90,854.70,677.47K,-0.05%
31-Dec-15,862.75,857.45,866.45,851.50,743.36K,0.62%
1-Jan-16,856.55,860.00,862.00,853.50,230.37K,-0.72%
4-Jan-16,859.00,856.55,868.70,851.15,828.88K,0.29%
5-Jan-16,847.95,857.30,859.05,845.50,1.12M,-1.29%
6-Jan-16,843.05,850.00,850.00,840.95,2.14M,-0.58%
7-Jan-16,820.25,840.00,840.95,817.50,1.35M,-2.70%
8-Jan-16,809.85,819.00,831.50,807.70,1.32M,-1.27%
11-Jan-16,811.75,806.00,819.70,801.35,1.51M,0.23%
12-Jan-16,819.70,808.50,822.15,804.55,1.11M,0.98%
13-Jan-16,832.75,821.80,836.20,813.75,1.34M,1.59%
14-Jan-16,827.25,829.50,837.90,818.55,1.53M,-0.66%
15-Jan-16,804.25,827.25,828.95,776.65,3.25M,-2.78%
18-Jan-16,809.95,796.30,816.65,795.00,1.53M,0.71%
19-Jan-16,810.45,813.00,821.75,807.65,867.29K,0.06%
20-Jan-16,795.05,805.00,815.00,785.00,1.54M,-1.90%
21-Jan-16,775.60,797.20,799.00,774.20,1.68M,-2.45%
22-Jan-16,771.50,780.50,783.50,770.00,1.47M,-0.53%
25-Jan-16,783.30,772.00,784.75,769.70,1.04M,1.53%
27-Jan-16,767.90,781.00,783.85,766.40,1.29M,-1.97%
28-Jan-16,791.75,769.80,797.00,766.50,1.97M,3.11%
29-Jan-16,816.90,791.10,820.00,791.10,1.73M,3.18%
1-Feb-16,800.95,816.00,817.40,799.00,1.03M,-1.95%
2-Feb-16,800.10,809.50,809.95,796.95,960.24K,-0.11%
3-Feb-16,821.60,795.50,828.50,795.50,1.84M,2.69%
4-Feb-16,834.80,824.50,838.40,816.55,1.70M,1.61%
5-Feb-16,844.95,830.00,855.50,830.00,2.04M,1.22%
8-Feb-16,828.90,844.00,848.20,826.45,490.43K,-1.90%
9-Feb-16,826.35,826.35,842.15,824.70,964.66K,-0.31%
10-Feb-16,824.55,826.00,832.10,820.10,781.04K,-0.22%
11-Feb-16,802.60,823.90,828.00,791.20,1.01M,-2.66%
12-Feb-16,812.60,800.50,816.70,795.00,1.32M,1.25%
15-Feb-16,804.70,817.00,821.95,798.00,1.21M,-0.97%
16-Feb-16,803.20,810.00,811.85,799.45,926.08K,-0.19%
17-Feb-16,812.55,800.50,814.00,789.75,783.63K,1.16%
18-Feb-16,827.40,814.05,830.50,812.50,1.18M,1.83%
19-Feb-16,827.60,831.85,831.85,813.45,620.20K,0.02%
22-Feb-16,861.65,827.00,866.00,826.35,1.88M,4.11%
23-Feb-16,836.85,858.45,858.45,834.20,590.73K,-2.88%
24-Feb-16,836.75,836.90,844.90,828.20,1.06M,-0.01%
25-Feb-16,842.80,837.70,846.20,832.40,859.88K,0.72%
26-Feb-16,849.90,848.00,852.65,841.10,1.19M,0.84%
29-Feb-16,830.40,851.00,851.70,823.50,1.97M,-2.29%
1-Mar-16,824.15,829.85,829.85,818.10,1.78M,-0.75%
2-Mar-16,849.25,830.00,855.00,830.00,1.22M,3.05%
3-Mar-16,848.90,855.50,856.10,845.75,746.38K,-0.04%
4-Mar-16,848.75,848.50,855.90,841.45,1.33M,-0.02%
8-Mar-16,826.25,848.00,848.00,824.00,1.34M,-2.65%
9-Mar-16,839.65,826.55,843.90,826.55,1.93M,1.62%
10-Mar-16,837.55,837.00,841.00,829.00,1.14M,-0.25%
