Date,Price,Open,High,Low,Vol.,Change %
23-Dec-14,446.88,451.18,452.07,445.90,4.84M,0.01
24-Dec-14,442.07,446.88,448.57,440.00,10.28M,0.01
26-Dec-14,444.43,443.30,446.32,440.05,2.24M,0.01
29-Dec-14,448.50,444.25,449.52,443.48,3.17M,0.01
30-Dec-14,440.07,448.55,449.20,438.55,5.32M,0.02
31-Dec-14,445.57,440.00,446.95,439.52,3.87M,0.01
01-Jan-15,443.95,443.15,446.00,441.82,1.35M,0.00
05-Jun-14,544.95,539.25,547.45,532.12,9.13M,0.01
06-Jun-14,561.20,553.70,566.50,552.05,13.40M,0.03
09-Jun-14,561.33,565.00,566.35,556.05,6.17M,0.00
10-Jun-14,559.15,565.23,565.23,550.23,7.21M,0.00
11-Jun-14,551.05,560.00,560.00,546.25,6.93M,0.01
12-Jun-14,547.08,549.27,556.75,542.05,5.38M,0.01
13-Jun-14,540.95,550.15,553.50,536.35,6.70M,0.01
16-Jun-14,532.73,542.00,542.00,528.58,6.57M,0.02
17-Jun-14,545.02,529.05,546.65,529.05,7.23M,0.02
18-Jun-14,533.38,544.00,550.83,530.33,8.78M,0.02
19-Jun-14,521.05,537.00,537.48,515.80,10.57M,0.02
20-Jun-14,518.25,522.95,524.70,517.12,5.88M,0.01
23-Jun-14,518.98,518.50,522.45,512.00,6.75M,0.00
02-Jan-15,442.77,444.05,448.02,442.15,3.35M,0.00
05-Jan-15,437.93,442.50,445.45,437.05,4.62M,0.01
06-Jan-15,418.05,435.00,436.50,416.00,8.52M,0.05
07-Jan-15,427.15,418.55,429.40,418.50,9.47M,0.02
08-Jan-15,421.02,430.05,431.45,420.07,9.08M,0.01
09-Jan-15,430.15,424.20,431.00,422.50,6.12M,0.02
12-Jan-15,425.15,430.25,430.50,420.80,4.62M,0.01
13-Jan-15,421.57,426.50,427.48,420.25,4.55M,0.01
14-Jan-15,417.48,421.50,423.50,415.60,5.20M,0.01
15-Jan-15,432.12,420.00,435.55,420.00,7.74M,0.04
16-Jan-15,434.85,430.00,437.50,426.02,8.75M,0.01
19-Jan-15,439.82,435.10,443.00,429.38,6.10M,0.01
20-Jan-15,451.52,440.75,452.77,439.43,6.11M,0.03
21-Jan-15,453.38,452.50,455.70,446.02,7.81M,0.00
